,Hi all~ I am in the market for a new plaquette style device,1
7957,Please note though that I have a wide foot and things like Miuras feel terrible~ even at street shoes size~ while I wear my Otakis very small,1
7958,Street shoes is something like a 46~ but I wear Otakis in 44,1
7959,I have the Katana Lace in 43.5 and the kataki's in 43,1
7960,kataki's aren't any wider than the Katana lace~ I sized down because I thought they were wider,1
7961,"The toes are so tight but there's about 1/4"" of dead space around the heel~ so the back of my foot slides around on heel hooks and smears~  also fart noises",1
7962,They're not as stiff as the Katanas but they came with much thicker souls,1
7963,They almost seemed like 5mm.,1
7964,And the last downside is that they turn your feet blue,1
7965,But they edge great~  smear OK~  crack well and the rubber is nice and thick,1
7966," Hey Josh~ what foot shape do you have? I'm getting conflicting information but with a medium volume forefoot and low volume heel I was going to go up a full size from my Katana Lace (42.5) to a 43.5 in the Kataki for a ""comfort/all around fit""",1
7967,Thanks for the reply reboot,1
7968,Were you going for a curled toe or or flat toe fit?,1
7969,Great~ thanks again.,1
7970,I bought the same size (41) in both Katana LU and the Kataki (women’s version),1
7971,They fit very differently on my feet,1
7972,Katana has no dead space in the toes,1
7973,Great for edging~ but can’t smear,1
7974,The Kataki has a little more space in the toes,1
7975,More comfortable,1
7976,Smears great,1
7977,I didn’t like the XS Grip 2 on the women’s version of the Kataki though,1
7978,If I had to do it again~ i’d probably go down a 1/2 size in the Kataki,1
7979,For reference I wear an 8.5 Converse.,1
7980,Thanks~ Chris,1
7981,I ended up ordering both a 43 and 43.5 (half size up),1
7982,I'm wanting this to kinda be my all around shoe and after a full day usually my feet are aching in my Katanas,1
7983,Hoping the extra toe space with the Kataki solves this issue,1
7984,Cheers.,1
7985,That's exactly why I originally decided not to size down on my Katakis,1
7986,My Katanas were the perfect performance fit~ and I wanted a more comfortable multi-route shoe,1
7987,I definitely got that with the Katakis,1
7988,Just be aware that they do stretch quite a lot,1
7989,Good luck!,1
7990,Yer all gone die,1
7991,-Tony,1
7992,Is that really your name?,1
7993,Is that really your name? Totally,1
7994,So for the climber who doesn’t fit into a Miura VS~ what’s the best edging shoe from Sportiva,1
7995,I’ve worn 3-4pairs of Katanas and K Laces~ are Katakis or Otakis going to cut it on heinous vert edging?,1
7996,Single pitch or multi?  The TC Pros are the only other LS shoe that fits my feet (I got half size bigger than Otakis),1
7997,Obviously these are mostly used for all day multi-pitch~ vert/crack/etc~ but I find the stiffness and edging quite good for smaller footholds that require balance~ even in the gym,1
7998,I like the Katana Lace over Kataki for edging~ they’re a little stiffer.,1
7999,The Kataki is a Katana Lace with a wider toe box and S heel,1
8000,Also is the best all-around shoe in the game,1
8001,Size 1/2 up for all-day trad,1
8002,Great for sport too except for cave/huge overhangs,1
8003,Stretches a little~ so cram it home for sport sizing,1
8004,The Kataki is not a KL,1
8005,The Kataki is built on a different last~ the shoe is more asymmetrical and slightly more down turned,1
8006,The KL is also a stiffer shoe from experience as well,1
8007,They fit very much like an Otaki and are similar in stiffness,1
8008,I have worn out two pairs of Instinct VS~ each with multiple resoles~ and they were my prior favorite shoe before this new line from Sportiva,1
8009,I got a pair of the new Instinct Lace in the mail when I got home~ but I haven't tried them yet,1
8010,"Out of the box the new Instinct Lace felt like my toe was really ""up front"" in the toe box",1
8011,Hard to describe~ but it seemed a bit weird at my toes---as if my big toe was right over (almost beyond) the front edge of the sole~ and I could easily stub my big toe if I wasn't careful,1
8012,"Is ""too precise"" a thing? I appreciate the feedback on Scarpa shoes",1
8013,My only real experience with them has been the Instinct VS~ Feroce~ and some Generators from way back when How do you size the instinct lace relative to the kataki/otaki?,1
8014,I wear a 44 in Instinct Lace~ so 0.5-1 size up from Sportiva,1
8015,How do these shoes perform compared to the Katana Lace's and Miura VS? I'm looking for a she that excels at precise footwork and can stick on a micro edge or smear well when needed,1
8016,Overhangs are not a concern...I climb some steep stuff but nothing crazy,1
8017,Boreal Linx for better smearing and very good edging,1
8018,They seem a tad stiff and more precise to my foot that the katana lace.,1
8019,Just to add a couple more data points~ I have been climbing in TC Pros (44.5) for cracks mostly in Squamish and Shamans (12) mostly for the bouldering gym but also for the occasional real face climb,1
8020,I blew out the toe on my TC Pro trying to stick a smear on a single crystal and my Shamans are nearly worn through the toe too so I figured I'd try something a little different and picked up a pair of Skwamas (44) and a pair of Katakis (44.5),1
8021,The Skwamas are a good replacement for the Shamans and fit nearly the same but are not nearly as comfortable,1
8022,I've had the Shamans for so long that maybe I don't remember how they felt when they were new,1
8023,The Skwamas have a terribly sharp edge on the plastic material under both ankle bones,1
8024,I actually took a nail file to the shoe to smooth the sharp edge out and it helped,1
8025,I can't believe a $170 shoe would have such an unfinished detail,1
8026,Other than the pain in the ankle I really like the way the shoe climbs both in the gym an on real granite,1
8027,It's softer both under and over the toes than the Shaman which gives it a little more sensitivity but somehow feel like it edges better too,1
8028,That might be due to the broken midsole in my Shamans,1
8029,The heel fits well (other than the sharp edge) and stays secure during heel hooks,1
8030,Overall the Skwamas are a good addition and I think they will get better as they break in,1
8031,I have less days in the Katakis so far~ just a couple of pitches outside and a session in the gym,1
8032,Initially they felt too tight~ I was hoping to fit them for finger cracks~ my thinking was that the lower profile toe box might fit better in less-than-hand cracks than the toe on the TC Pros,1
8033,Both the TC Pros and the Katakis in a 44.5 leave me with a flat big toe and the rest of my toes are curled,1
8034,With the wider toe in the TC Pro my toes aren't as curled as they are in the narrower toe of the Kataki,1
8035,As they break in I'm starting to feel more optimistic that I got the sizing right,1
8036,My gym session in them gave me the impression that they had all the feel of a wooden clog under the big toe which is a stark contrast to the Skwama but I could stand on the big toe well even with less compression,1
8037,My one day climbing outside in them (just a few pitches after teaching some belay skills) left me thinking that I sized them right and that they will work for what I want,1
8038,They are not a direct replacement for the TC Pro but I think they will perform better in the smaller cracks,1
8039,I'll have to get some more mileage on them to know if they'll stretch as much as the TC Pros did,1
8040,If they do then they will be great crack shoes~ if they don't then they'll be good for finger cracks only and not so good for hand cracks where my other toes will get smashed knuckles,1
8041,Time will tell,1
8042,Someone with narrower feet or different toe shape than mine would have a very different experience comparing the TC Pro and the Kataki for crack climbing.,1
8043,The Skwama fits very differently for me; can’t wear it,1
8044,The Otaki a little differently and I probably need a half size larger,1
8045,The Kataki is a great face climbing shoe~ a little like the Miura lace but not as precise in the toe,1
8046,However they fit me better and I really like them.,1
8047,The Otaki feels like a larger volume Miura VS with a less aggressive shape (just as downturned~ but less asymmetrical),1
8048,Baggier heel (for me).,1
8049,I have the womens skawama in 40,1
8050,I just got a pair of women’s Katakis in 41,1
8051,I got the women’s because I wanted the grip rubber instead of the edge due to the fact I’m a only 136 lbs,1
8052,there super comfy but I do regret not getting a 40.5,1
8053,The toe flexes a bit on small holds,1
8054,I’m thinking about sending them back but I’m not sure what that half size will really benfit enough for the trouble,1
8055,I wear a 42 street shoe.,1
8056,Same size street shoe~ 40 skwama was a snug performance fit on me~ 39.5 was damn near plastic bag required when new.,1
8057,I just got back from a week in Indian Creek with the La Sportiva Kataki~ and here are a few initial thoughts,1
8058,The Sportiva Kataki is the lace version of the Otaki and the sister shoe to the softer Skwama,1
8059,I have worn out a pair of both the Otakis and the Skwamas~ and I'll compare the Kataki to both of those,1
8060,The Kataki fits like the Otaki and Skwama: wide at the forefoot,1
8061,But the laces extend down to near the toe~ allowing a more precise fit,1
8062,The toe is low profile and similar to the Otaki,1
8063,The Skwama's toe is a bit higher profile and less supple with all the rubber up front,1
8064,I climbed cracks from fist size down to 5.12 .3-.4 Camalots in the Kataki,1
8065,I also used them to climb Stolen Chimney~ and I used them for an afternoon of sport climbing at Wall Street,1
8066,From 5.10 hands to 5.12 fingers to 5.12 edgy face routes~ they performed great,1
8067,The laces do show some fuzzy wear after several days of jamming in cracks,1
8068,I imagine if I was there for much longer~ the laces would need to be replaced,1
8069,They are much stiffer than the Skwama,1
8070,The Skwama is not only softer in flex~ its XS Grip seems to wear out nearly twice as fast as XS Edge,1
8071,The benefit of XS Grip is that I think it holds much better on rounded crappy feet frequently encountered while bouldering,1
8072,The Skwama is definitely better for bouldering and gym climbing for me than the Otaki/Kataki,1
8073,The more custom fit of the Kataki over the Otaki due to the laces make the Kataki my choice for roped climbing,1
8074,"Some folks may poo on the idea of using an ""aggressive"" shoe like the Kataki for crack climbing",1
8075,But other folks recognize that shoes like the Katana Lace and Kataki can be great for cracks---especially thin cracks,1
8076,Anyway~ that's about it at this point,1
8077,I need to wear them more to have more thoughts on their performance on other terrain,1
8078,My prior experience with the Otaki and Skwama informs some of what I think I'll find,1
8079,For example~ I think the S-heel is a gimmick and doesn't do much~ if anything~ for me,1
8080,I'm really liking this new line from Sportiva,1
8081,When would one choose the Otaki over Kataki?,1
8082,When would one choose the Otaki over Kataki? I personally wouldn't,1
8083,for anything,1
8084,When would one choose the Otaki over Kataki? I love my kataki! They are stiff compared to my skawama,1
8085,But I don’t have to bail out of them at the end of each route,1
8086,I have to women’s so they have to grip rubber compared to edge,1
8087,But I’m only 62 kilos,1
8088,I personally wouldn't,1
8089,for anything Yeah~ i’m curious why la sportiva even designed a velcro system,1
8090,It’s more expensive too~ albeit by 5 bucks.,1
8091,Dude~ it's just a pack.,1
8092,At least try to pretend that this was an unsolicited review...,1
8093,This smells shilly,1
8094,Not too pleased that the design is a rip off of the Mochilla,1
8095,What's the benefit of this pack over buying 2 TUFA's for the same(ish) price? Which does have a movable sternum strap~ doesn't have a G Hook~ and is made in the US,1
8096,Basically what I'm asking is why is this pack double the price of one with less cons and effectively the same set of pros?,1
8097,Damn~ wasn't expecting that response,1
8098,As someone who makes packs and quilts and other gear myself~ the brand really appealed to me from a nerdy gear perspective,1
8099,I made a post about them here~ because I truly found it really interesting,1
8100,I think they fit an interesting niche in the market with they're use of x-pac~ modularity (like cilo)~ and the sizes that they offer (smallest size starts bigger than the mochilla),1
8101,I do not think that any one thing in particular they're doing hasn't been done before~ but I do think that they've chosen a pretty cool combination of features,1
8102,After posting the other thread to see what other people thought and to have a discussion with the other members on here~ Built To Send reached out to me and offered me a discount to enable me to check it out in person and hopefully review,1
8103,I did pay my own money for the pack~ and quite a bit in my opinion~ just at a discount because I really do think that this pack fits my needs well,1
8104,In the review~ I very intentionally didn't compare the pack to any others on the market,1
8105,My goal wasn't to tell you what pack to choose~ as I personally think cilo~ tufa~ CCW~ Alpine Luddites~ and others are all incredible options,1
8106,I didn't want to draw out similarities~ as you all know the others and you can make informed decisions for yourself about the designs without me telling you what to think,1
8107,Whether or not the pack looks too similar to the mochilla~ is up for the individual to decide,1
8108,I personally think they've made their packs to fit into the Alpine climbing category and the mochilla fits a bit more into the leader pack category~ although there is a decent amount of overlap,1
8109,The mochilla expands to 24L~ while the X0 (their smallest pack) expands to 35L,1
8110,That being said~ I'm more than happy for you to have a different opinion,1
8111,Your mileage may vary~ but all I can draw from is my experience with the BD speed zip and the Patagonia ascensionist,1
8112,Both are well designed~ but they both get pretty shredded on granite,1
8113,I've found the dead bird alpha fl is better for durability though,1
8114,I've got news for you if you think the mochilla was some sort of revolutionary bag design...,1
8115,small no-thrills climbing bags tend to all end up pretty similar~ and its been that way for probably 50 years,1
8116,(initially posted in gear discussion forum by mistake) Just got my Crag wagon 45 last week and put it to the test this week-end,1
8117,I was able to load it with the following: - 9.5mm 60m rope (stored in the tarp) - 2 pairs of climbing shoes - 2 harnesses - 2 chalk bag - Sport rack of about 14 draws + slings & biners - small lunch for 2 - 1.5L of water - some spare clothing - flip flops - Full size DSLR with mounted lens There was enough space left in the bag that I could have added a helmet on top easilly (my partner had these),1
8118,Adding a double trad rack would probably mean taking some stuff out as I doubt it would have fit (havn't tried it yet)~ but I'm confident that removing the camera and flip flop would do the trick,1
8119,Worst case I could carry the rope on top of the pack,1
8120,Bag stands erect whether fully loaded or empty~ which is nice,1
8121,The pack carried very well on the moderate approach and I didn't really feel the weigth,1
8122,The frame give a nice sturdiness to the bag and it pretty much feel like a hiking packpack when you have it on,1
8123,The U-shape zipper makes it super easy to access all you gear so you can pack for weight distribution and not worry about what you'll need first once at the crag,1
8124,I liked the 2 gear slings inside the main pocket as it is a convenient place to hang stuff that you need on/off like belay glasses/gri-gri etc without fear of someone stepping on them or having them falling out the bag,1
8125,Top loading when moving to a different area of the crag was super conveninent,1
8126,The top opening is big enough that you can just chuck everything in no problem,1
8127,The top pocket works fine~ but I could wish the two zip pockets inside had more volume built into them as you cannot fit much in there in my opinion~ especially with the zipper on the side and not the top of the pockets,1
8128,If I'm nitpicking I'd also say the leash for the key ring is ridiculously short,1
8129,"That thing is like 3/4"" long and stuck in the corner of the pocket",1
8130,I'll probably add a small entension on it for ease of use,1
8131,The rope tarp that comes with the bag work OK,1
8132,It is on the small side and I'm not sure how that light material will handle the abuse,1
8133,There is a tension strap built into it~ but the tarp material is somewhat slippery~ which makes it hard to tension the strap as the tarps just slips on itself when you pull on the strap,1
8134,Guess it'll take some geting use to,1
8135,Very happy with my purchase so far as that bag is definitively a big improvement over my previous pack (37L hiking pack),1
8136,I have it in the blue version and it does looks nice (for now at least - not sure how the color will handle the dirt),1
8137,My partner has the BD Creek 50 and while his is clearly the most spacious and sturdy bag~ he was looking at mine with some envy when I fully unziped the U shape access :),1
8138,Thank you for the write up,1
8139,I've been weighing the Crag Wagon against the Creek 50~ my one hang up being able to pack in a double rack with everything else,1
8140,The Crag Wagon 60 is an option~ but I feel like that's almost overkill,1
8141,Have you had the chance to see what kind of space you have when loading up with a double rack~ minus the camera and shoes?,1
8142,I'll actually have the chance to try this next week,1
8143,I'll add notes afterwards,1
8144,Any good or bad experiences with this helmet? Durability or build?  It looks like it combines the best of both helmet designs,1
8145,helmet,1
8146,I actually reviewed the Wall Rider for Bentgate Mountaineering,1
8147,Non-biased review~ I really enjoy it and now use it exclusively,1
8148,Bentgate Mountaineering Review - Mammut Wall Rider Helmet,1
8149,I've wondered about this helmet as well,1
8150,I want the Sirocco but the color and shape are..,1
8151,questionable.,1
8152,It's pretty similar to the Sirocco in terms of lightness and comfort but I think it's a lot more comfortable/low profile/better looking.,1
8153,Great write-up~ Lucie.,1
8154,Hi all~ first time chiming in on a thread~ but I think the Sicorro is better,1
8155,I took this on an 8 month South American climbing trip,1
8156,It's light~ good looking~ comfortable~ visor~ headlamp compatible~ sheds icefall well~ etc,1
8157,Pretty much all I need in a helmet~ with the exception of a pretty serious design flaw,1
8158,It was strapped to my backpack on a slippery alpine descent~ and I fell and it broke along the plastic/EPP foam transition when I slipped,1
8159,It's a pretty prominent point of weakness that doesn't exist in a side by side comparison with the Petzl Sirocco (and it's a few bucks cheaper),1
8160,Along each of the three struts on half the helmet! As a mechanical engineer~ I notice that this design could be improved by increasing the bend radii for strain relief~ or just increasing the cross sectional area along the fracture line,1
8161,What a bummer on an otherwise great helmet,1
8162,Hope it's addressed in future revisions~ or my next will be a Sirocco (despite how ugly they are~ they've also got a 3 year guarantee that Mammut doesn't have~ as well as being a few bucks cheaper) Whatever~ I put some GOOP on it and lashed it with tape~ as it'll still shed impacts from above~ and feels as sturdy as the other side,1
8163,To be honest I'm just a little disappointed in the engineering! But yes..,1
8164,it looks good in the crag.,1
8165,I've been very happy with mine after 15+ years in the petzl meteor,1
8166,Very light~ I don't even notice it on my head,1
8167,My only complaint is that the chin buckle slips pretty much every time I wear it,1
8168,I think the last time I adjusted the strap on the meteor was the day I bought it in 2001 or whatever.,1
8169,Hi all~ first time chiming in on a thread~ but I think the Sicorro is better,1
8170,I took this on an 8 month South American climbing trip,1
8171,It's light~ good looking~ comfortable~ visor~ headlamp compatible~ sheds icefall well~ etc,1
8172,Pretty much all I need in a helmet~ with the exception of a pretty serious design flaw,1
8173,It was strapped to my backpack on a slippery alpine descent~ and I fell and it broke along the plastic/EPP foam transition when I slipped,1
8174,It's a pretty prominent point of weakness that doesn't exist in a side by side comparison with the Petzl Sirocco (and it's a few bucks cheaper),1
8175,Along each of the three struts on half the helmet! As a mechanical engineer~ I notice that this design could be improved by increasing the bend radii for strain relief~ or just increasing the cross sectional area along the fracture line,1
8176,What a bummer on an otherwise great helmet,1
8177,Hope it's addressed in future revisions~ or my next will be a Sirocco (despite how ugly they are~ they've also got a 3 year guarantee that Mammut doesn't have~ as well as being a few bucks cheaper) Whatever~ I put some GOOP on it and lashed it with tape~ as it'll still shed impacts from above~ and feels as sturdy as the other side,1
8178,To be honest I'm just a little disappointed in the engineering! But yes..,1
8179,it looks good in the crag,1
8180,..,1
8181,maybe~ but it might be a stretch to assume any of the ultralight foam helmets is going to survive being fallen on while it's on the outside of your pack  anyways i have had the wall rider for a few months now and I've been pretty happy,1
8182,durable (at least compared to my friend's BD vapor)~ comfy~ and light,1
8183,Agreed~ it is way more durable than a BD vapor~ and is comfy and light,1
8184,I am still wearing mine after many months,1
8185,Just pointing out the weakness and its alternative since I haven't seen anyone mention it :),1
8186,The new Sirocco  has a top shell just like the mammut..,1
8187,https://www.backcountry.com/petzl-sirocco-helmet?CMP_SKU=PTZ006T&MER=0406&skid=PTZ006T-BK-SM&CMP_ID=PLA_BNG001&utm_source=Bing&utm_medium=PLA&mr:trackingCode=768CE356-0651-E711-8100-005056944E17&mr:referralID=NA&mr:device=c&mr:adType=pa&mr:ad=8823334153&mr:filter=1100200197847,1
8188,I'm now no longer a satisfied customer,1
8189,After a flight I pulled the wallrider out and two of the support pillars on the left side of the helmet were broken,1
8190,Must've taken my prior Petzl Meteor 3 on 30 or 40 flights with no incident,1
8191,Really not impressed.,1
8192,My wallrider cracked and Mammut replaced no  questions asked,1
8193,I have been more than satisfied with the helmet!,1
8194,My wallrider cracked and Mammut replaced no  questions asked,1
8195,I have been more than satisfied with the helmet! Hmm~ thanks Mike that's good to know,1
8196,How did you arrange that~ just via their website? Overall it is a very comfy and light helmet~ that part remains true...,1
8197,Hmm~ thanks Mike that's good to know,1
8198,How did you arrange that~ just via their website? Overall it is a very comfy and light helmet~ that part remains true..,1
8199,I called and talked to customer service,1
8200,They just asked for a picture and then sent me a new one!,1
8201,I called and talked to customer service,1
8202,They just asked for a picture and then sent me a new one! Thanks Mike~ I'll give that a try.,1
8203,Its really nice  ____________________________ 24*7 assignemnt help,1
8204,I love this helmet - I put too many dents into my old Vector from silly shit so the hardshell is fantastic,1
8205,Also the strap system on this helmet is so simple and works so well.,1
8206,I called and talked to customer service,1
8207,They just asked for a picture and then sent me a new one! I wanted to add that Mammut has now done the same thing for me~ which is impressive,1
8208,I guess going forward I'm going have to just pack my helmet as though I'm packing an egg in my luggage,1
8209,One guy at my local gear shop suggested not checking it at all~ but I've had surprise gate checks too many times to rely on that,1
8210,He also said that the wallrider can pass through the UIAA impact test multiple times~ which my Meteor apparently cannot do.,1
8211,Mine was on the side of my harness and got caught under a rock in a talus field on the approach,1
8212,the side broke off and I superglued and taped it back together for the day of climbing,1
8213,I guess I'll be calling mammut based on people's experiences with customer service,1
8214,Otherwise it has been an awesome helmet,1
8215,Super super light.,1
8216,The helmet durability is questionable..,1
8217,I used mine in everyday usage(sport climbing~ etc...) and it cracked or had foam gouged out just from shoving it into my pack and moving it around,1
8218,I will say~ as others have mentioned~ mammut's customer service is second to none and they sent me a replacement right away,1
8219,They actually sent me another replacement after the foam cracked again,1
8220,I ended up buying a rock rider for sport and multi-pitch trad and will be using the wall rider for alpine missions(or when I just want to lighten my load),1
8221,If you're looking for a a daily driver this probably isn't it~ but works great as a lightweight alpine helmet.,1
8222,Just a little update 2 years on~ my replacement Wall Rider has been good so far~ no further cracking,1
8223,Could just be coincidence~ but since the first one was damaged while in checked airline baggage~ I've been super careful with the second one when flying,1
8224,I pack the inside of it with clothes and place it in the center of my biggest bag~ dome up~ with more soft stuff all around,1
8225,So far so good,1
8226,While the helmet is definitely comfortable and light I don't think I'd buy it again due to the fact that the chin strap (at least on both of mine) is constantly slipping,1
8227,I have found the Wall Rider to be much more durable than the BD Vapor it replaced; have been very happy with the fit,1
8228,too,1
8229,The EPP foam has some flex vs,1
8230,the more rigid EPS foam in many other helmets that tends to crack,1
8231," All of the ""foam"" helmets are less rugged than the old hard shells~ but the weight reduction makes that an easy trade-off for me.",1
8232,Great helmet,1
8233,I just got done climbing all summer in one~ no complaints,1
8234,Very light and the price was right,1
8235,I've owned the Wall Rider~ Meteor~ Vector~ and now the Scirocco,1
8236,I crushed the Wall Rider when it was strapped to the outside of my pack and I dropped the pack without thinking,1
8237,Prior to that~ I thought it was a step up from the Meteor,1
8238,Lighter and more comfortable,1
8239,The Vector only lasted a few months before I noticed cracks in the foam~ whereas the Meteor I got a few years out of without being extra careful,1
8240,I just started using the Scirocco a few weeks ago and it isn't as comfy as the Vector or Wall Rider but is definitely more rugged,1
8241,I swore off foam helmets if I can't get at least a year out of it.,1
8242,This is the only helmet I've ever owned that makes me want to wear a helmet,1
8243,It's light~ has solid ventilation~ and the all webbing strapping is extremely comfortable compared to the plastic tensioners that most other helmets have nowadays,1
8244,That right there is 100% more important than anything else to me,1
8245,For durability~ I am very careful with it during transports,1
8246,It's clear that the foam construction will not handle a sizable load if you drop a bag on it or something of that sort.,1
8247,Dude~ you dropped your pack on your helmet,1
8248,Not exactly a great way to assess durability.,1
8249,I LOVE THIS HELMET,1
8250,I have nothing bad to say,1
8251,Super comfy to wear with or without a hat underneath~ breaths well and is so light you barely notice it,1
8252,The fabric strap closure is magically comfy and doesn't give me headaches like the plastic ones do to me on other helmets,1
8253,I will recommend this helmet to my death,1
8254,I jus TV upgraded from a petzle ecrin after 15 years,1
8255,And I got to say I love it,1
8256,After much struggling to find a shoe that fits comfortably but also performs well I've found a shoe I love; the Tenaya Inti,1
8257,Shoes I've worn~ for reference,1
8258,(Obviously desnt mean they're bad.,1
8259,just didn't work for me.) Anasazi Pink~ Anasazi Pro~ Moccasyms~ Katana Lace~ TC Pro~ Butora Acros~ Scarpa Instinct VS~ Miura VS~ Team Blacks~ Dragons~ Tenaya Mundaka~ and Tenaya Tarifa,1
8260,I'd describe the Inti as a medium-soft~ flexible shoe with added stiffness in the toes for surprisingly excellent edging,1
8261,Sized comfortably it is exceptional for longer routes and smears like a dream while still edging very well,1
8262,Downsized it's ultra good at edging and excellent for vertical to slightly overhanging routes,1
8263,It doesn't seem ideal for cracks or pockets and doesn't heel hook very well,1
8264,It lacks lateral stiffness to comfortably hold up in cracks and the toe isn't ultra precise,1
8265,The Tarifa seems a better option for pockets and I haven't found a good Tenaya shoe for cracks (maybe the Masai~ but they're ultra narrow and don't fit me),1
8266,I like the Inti better for slab AND vertical climbing than any other shoe I've tried and highly recommend it,1
8267,For pockets I'd reach for the Tarifa~ for heel hooks or steep bouldering the Mundaka,1
8268,Highly recommend trying it out for either a versatile shoe or pure vertical to slightly overhanging sport excellence,1
8269,Ideal if you like more flexible shoes but also edging support for your toes.,1
8270,Been climbing in the Iati for a few months and  agree it's great,1
8271,Almost no other shoe fits my foot,1
8272,I'm thinking about picking up the Mundaka as a more aggressive shoe like you said~ but can you compare the two more? Thanks,1
8273,The Inti is the one I reviewed but the Iati is similar to the Tarifa~ which I also use.,1
8274,jeffrey~ what size intis do you wear?,1
8275,Inti US 11.5 for multi-pitch~ 11 for sport,1
8276,Oddly the Tarifa & Mundaka I wear a 10,1
8277,Street shoe is 10.5/11.,1
8278,Has anyone used the newish Black Diamond x Backcountry Stone garden bag? Looks like a good mix for light cragging and gym bag,1
8279,Are there better bags at that price point ($129)?,1
8280,I was looking at that bag as well...,1
8281,After many false annoucements~ it's finally available,1
8282,Just got a hold of one from Trekinn for $55 (though it looks like it just went up $5),1
8283,Solid piece of gear,1
8284,All metal - stainless and aluminum including handle,1
8285,Quality construction; compact; feeds and lowers at least as good as the Grigri IMO and the handle is wide enough to be comfortable,1
8286,Slightly heavier than the Grigri because of the all metal construction but who gives a shit if you're sport climbing or TRing,1
8287,Works with a wide range of ropes (8.5 - 10.5) though I've only used on 9.4 - 9.9.,1
8288,It will have the same problem as the mad rock lifeguard I bet where the handle gets hella hot if you are rapping fixed lines or lowering a heavy load,1
8289,Otherwise~ stoked to grab one.,1
8290,Is the Birdie all Steel or is the outer plate Aluminum like the madrocks?,1
8291,How stiff is the cam spring~ compared to a grigri / lifeguard?,1
8292,Outer plates and handle are the aluminum parts as far as I can tell,1
8293,Cam~ pinch plate and hardware are stainless.,1
8294,I would say that it is equivilent to Grigri 2 spring and not quite as stiff as the MadRcok,1
8295,I would say that it is equivilent to Grigri 2 spring and not quite as stiff as the MadRcok How does it pay out fast for a high clip than? Anyway to over ride the cam without grasping the device~ I don’t think they had a lip on the side of the body?,1
8296,How does it pay out fast for a high clip than? Anyway to over ride the cam without grasping the device~ I don’t think they had a lip on the side of the body? Probably rope dependent somewhat,1
8297,I've only tried it with 9.4 BD and a 10 Sterling (?),1
8298,for me it seems the more pliable the rope the better it feeds,1
8299,It works fine using the two-handed tenchique that Beal shows on their info videos (push/pull),1
8300,It would be interesting to play around with it with a range of different ropes to see how tolerant it is to fast feeding,1
8301,No~ there is no lip on the device like the Grigri but the edge of the plate is rounded and can be fed similar to the Grigri but with my ropes I think it feed freer and faster using the two handed technique,1
8302,It would probably wear quicker though because that part is aluminum,1
8303,Greetings~ My Petzl Coral kind of sucks when fully loaded with my rack,1
8304,I'd like some recommendations on a better TRAD harness,1
8305,My criteria...,1
8306,really happy with the bd solution guide,1
8307,Have you heard of the Misty Mountain Cadillac?,1
8308,+1 for MM caddy,1
8309,I opted for the additional rear gear loop on mine and it's great for whatever your not using mid pitch,1
8310,The stacked side gear loops take some getting used to~  but I really like them,1
8311,It's super comfy on hanging belays and carries weight really well on your hips,1
8312,How do you get the option for extra gear loop? Was just checking them out on moosejaw,1
8313,May have to put in an order.,1
8314,Is this the week of all MMC all the time? Good,1
8315,Instead of a 5th gear loop~ put some of your alpines over your shoulder,1
8316,It will work wonders!,1
8317,I wouldn't bother,1
8318,all harnesses suck if you have a full trad rack on them,1
8319,I just put some pieces or the draws on a gear sling,1
8320,Spreads the weight,1
8321,That way I don't have a sagging~ mega loaded harness,1
8322,And I tend no to put everything on the sling if it's a big rack,1
8323,Otherwise it's hard to select gear from the middle of the pack,1
8324,the tradeoff of a big waist belt or big wall harness is less mobility,1
8325,Arc'teryx FL-365 is the most comfortable harness with huge gear oops I've found,1
8326,Love it.,1
8327,Again for the Misty Mountain Cadillac,1
8328,I got a custom one last year with double back buckles and a second belay loop,1
8329,Buckles never creep~ and I love all the gear loops,1
8330,Fantastic harness,1
8331,Comfy too.,1
8332,Another vote for MM Cadillac,1
8333,They have a harness builder on their website but if you call them~ they’ll do pretty much anything you ask,1
8334,I’ve had gear loops in different places~ custom colours~ all kinds of stuff over the years,1
8335,Edited to add: As others have mentioned~ there are other ways to lighten the load on your harness,1
8336,I’m skinny so I hate a fully loaded harness~ it just sags,1
8337,- 3-4 single slings with biners over your shoulder eliminates the need for so many draws,1
8338,- use a prussic cord to secure your chalk bag..,1
8339,one less thing on your harness - ultralight running hydration bladder and/or an 8-10l pack is great to avoid water bottles and/or shoes being clipped to your harness,1
8340,- don’t carry crap you don’t need (ascender~ pulley~ etc),1
8341,Got a new Caddy for $65 on Ebay,1
8342,woot woot.,1
8343,Misty mountain Cadillac all the way,1
8344,Had MM Cadillac,1
8345,Did not like the size or configuration of the gear loops,1
8346,Gave it away,1
8347,The Singing Rock Dome is perfect for me,1
8348,Comfy,1
8349,Huge gear loops (right on the side of the harness),1
8350,$60! Has held up great,1
8351,Saw a crew member for Jimmy Chin wearing one while filming Free Solo.,1
8352,Dmm renegade,1
8353,7 loops~ feels like a normal harness~ not a big waller,1
8354,If you are going to be carrying gear only on your harness I really like the BD Big Gun,1
8355,The waist belts don’t seem to deform or sag when loaded down like other do,1
8356,It’s far from a perfect harness but when I need to carry a lot of crap it’s the one I always go back to,1
8357,2nd on the dmm renegade 2 harness,1
8358,Best harness I've ever had,1
8359,7 gear loops~ super comfy,1
